timestamp,srt_file,output_file,model,status,qa_issues
2026-01-15T21:30:37,FS01_AI_Governance_captions.srt,FS01_AI_Governance_transcript.txt,gemini-2.5-flash,OK,
2026-01-15T21:30:46,FS02_Faculty_Practice_captions.srt,FS02_Faculty_Practice_transcript.txt,gemini-2.5-flash,OK,
2026-01-15T21:30:51,FS03_Student_Impact_captions.srt,FS03_Student_Impact_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:05:03,Cam A Session 1 v1(1).srt,Cam A Session 1 v1(1)_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:06:20,Cam A Session 2 v1(1).srt,Cam A Session 2 v1(1)_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:08:00,Cam A Session 3 v1(1).srt,Cam A Session 3 v1(1)_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:09:06,Cam A Session 4 v1(1).srt,Cam A Session 4 v1(1)_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:13:26,Cam A Session 5 v1(1).srt,Cam A Session 5 v1(1)_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:17:41,Cam B Session 1 v1.srt,Cam B Session 1 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:21:47,Cam B Session 2 v1.srt,Cam B Session 2 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:23:41,Cam B Session 3 v1(1).srt,Cam B Session 3 v1(1)_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:25:03,Cam B Session 4 v1.srt,Cam B Session 4 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:28:08,Cam C Session 1 v1.srt,Cam C Session 1 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:29:25,Cam C Session 2 v1.srt,Cam C Session 2 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:30:22,Cam C Session 3 v1.srt,Cam C Session 3 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:34:40,Cam C Session 4 v1.srt,Cam C Session 4 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:36:44,Cam C Session 5 v1.srt,Cam C Session 5 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:37:26,Cam D Session 1 v1.srt,Cam D Session 1 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:38:46,Cam D Session 2 v1.srt,Cam D Session 2 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:40:22,Cam D Session 3 v1.srt,Cam D Session 3 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:41:51,Cam D Session 4 v1.srt,Cam D Session 4 v1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:42:51,Cam D Session 5 v1(1).srt,Cam D Session 5 v1(1)_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:44:45,General Session Closing Session Day 1.srt,General Session Closing Session Day 1_transcript.txt,gemini-2.5-flash,OK,
2026-01-19T13:44:45,General Session Closing Session Day 2.srt,,gemini-2.5-flash,ERROR,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 15.86779339s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '15s'}]}}"
2026-01-19T13:44:45,General Session Opening Session Day 1.srt,,gemini-2.5-flash,ERROR,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 15.549684343s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '15s'}]}}"
2026-01-19T13:44:46,General Session Opening Session Day 2.srt,,gemini-2.5-flash,ERROR,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 15.132717992s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '15s'}]}}"
2026-01-19T15:11:45,Cam A Session 1 v1(1).srt,Cam A Session 1 v1(1)_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam A Session 2 v1(1).srt,Cam A Session 2 v1(1)_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam A Session 3 v1(1).srt,Cam A Session 3 v1(1)_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam A Session 4 v1(1).srt,Cam A Session 4 v1(1)_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam A Session 5 v1(1).srt,Cam A Session 5 v1(1)_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam B Session 1 v1.srt,Cam B Session 1 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam B Session 2 v1.srt,Cam B Session 2 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam B Session 3 v1(1).srt,Cam B Session 3 v1(1)_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam B Session 4 v1.srt,Cam B Session 4 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam C Session 1 v1.srt,Cam C Session 1 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam C Session 2 v1.srt,Cam C Session 2 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam C Session 3 v1.srt,Cam C Session 3 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam C Session 4 v1.srt,Cam C Session 4 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam C Session 5 v1.srt,Cam C Session 5 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam D Session 1 v1.srt,Cam D Session 1 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam D Session 2 v1.srt,Cam D Session 2 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam D Session 3 v1.srt,Cam D Session 3 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam D Session 4 v1.srt,Cam D Session 4 v1_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,Cam D Session 5 v1(1).srt,Cam D Session 5 v1(1)_transcript.txt,gemini-2.5-flash,SKIP,
2026-01-19T15:11:45,General Session Closing Session Day 1.srt,General Session Closing Session Day 1_transcript.txt,gemini-2.5-flash,SKIP,
